OBJECTID,StopNumber,Latitude,Longitude,Route,Effective Date,x,y
297,267,43.54958,-79.58807,23,2025/09/01,-79.58807,43.54958
298,268,43.548275,-79.589586,23,2025/09/01,-79.5895859999999,43.548275
299,269,43.54465,-79.593594,23,2025/09/01,-79.5935939999999,43.54465
300,270,43.543184,-79.595163,23,2025/09/01,-79.595163,43.543184
301,272,43.540706,-79.597907,23,2025/09/01,-79.597907,43.540706
302,273,43.622433,-79.624093,51,2025/09/01,-79.624093,43.6224330000001
303,273,43.622433,-79.624093,302,2025/09/01,-79.624093,43.6224330000001
304,275,43.532166,-79.607176,23,2025/09/01,-79.607176,43.5321660000001
305,276,43.526779,-79.612881,23,2025/09/01,-79.612881,43.526779
306,278,43.524335,-79.615548,23,2025/09/01,-79.615548,43.5243350000001
307,279,43.519475,-79.620955,23,2025/09/01,-79.620955,43.5194750000001
308,280,43.517493,-79.623103,23,2025/09/01,-79.6231029999999,43.5174930000001
309,281,43.5152,-79.625593,23,2025/09/01,-79.625593,43.5152
310,282,43.513859,-79.627133,23,2025/09/01,-79.627133,43.513859
311,283,43.514634,-79.634498,13,2025/09/01,-79.634498,43.514634
312,283,43.514634,-79.634498,14,2025/09/01,-79.634498,43.514634
313,283,43.514634,-79.634498,45,2025/09/01,-79.634498,43.514634
314,283,43.514634,-79.634498,110,2025/09/01,-79.634498,43.514634
315,284,43.508632,-79.620744,29,2025/09/01,-79.620744,43.508632
316,285,43.510423,-79.623672,29,2025/09/01,-79.6236719999999,43.5104230000001
317,286,43.508973,-79.627404,14,2025/09/01,-79.627404,43.508973
318,286,43.508973,-79.627404,29,2025/09/01,-79.627404,43.508973
319,287,43.510265,-79.629243,14,2025/09/01,-79.629243,43.5102650000001
320,287,43.510265,-79.629243,29,2025/09/01,-79.629243,43.5102650000001
321,288,43.522182,-79.644787,13,2025/09/01,-79.644787,43.522182
322,288,43.522182,-79.644787,29,2025/09/01,-79.644787,43.522182
323,288,43.522182,-79.644787,45,2025/09/01,-79.644787,43.522182
324,289,43.543336,-79.610508,14,2025/09/01,-79.610508,43.5433360000001
325,290,43.543614,-79.610477,14,2025/09/01,-79.6104769999999,43.543614
326,291,43.53899,-79.599704,23,2025/09/01,-79.599704,43.5389900000001
327,292,43.536473,-79.602422,23,2025/09/01,-79.602422,43.5364730000001
328,294,43.607971,-79.649137,7,2025/09/01,-79.6491369999999,43.6079710000001
329,295,43.536471,-79.602089,23,2025/09/01,-79.602089,43.5364710000001
330,296,43.538488,-79.599901,23,2025/09/01,-79.599901,43.538488
331,298,43.567691,-79.718375,48,2025/09/01,-79.718375,43.567691
332,299,43.567362,-79.718717,9,2025/09/01,-79.718717,43.5673620000001
333,299,43.567362,-79.718717,48,2025/09/01,-79.718717,43.5673620000001
334,302,43.553118,-79.584384,14,2025/09/01,-79.5843839999999,43.553118
335,302,43.553118,-79.584384,23,2025/09/01,-79.5843839999999,43.553118
336,303,43.550597,-79.588581,14,2025/09/01,-79.588581,43.550597
337,304,43.563214,-79.59263,2,2025/09/01,-79.59263,43.5632140000001
338,305,43.562732,-79.592257,2,2025/09/01,-79.592257,43.562732
339,306,43.550804,-79.590284,14,2025/09/01,-79.5902839999999,43.550804
340,307,43.680102,-79.67229,15,2025/09/01,-79.67229,43.680102
341,308,43.680652,-79.673109,15,2025/09/01,-79.6731089999999,43.6806520000001
342,309,43.666368,-79.662707,5,2025/09/01,-79.662707,43.666368
343,310,43.644202,-79.526089,26,2025/09/01,-79.526089,43.6442020000001
344,311,43.553762,-79.585508,2,2025/09/01,-79.5855079999999,43.5537620000001
345,311,43.553762,-79.585508,8,2025/09/01,-79.5855079999999,43.5537620000001
346,311,43.553762,-79.585508,14,2025/09/01,-79.5855079999999,43.5537620000001
347,311,43.553762,-79.585508,23,2025/09/01,-79.5855079999999,43.5537620000001
348,313,43.559761,-79.715411,13,2025/09/01,-79.715411,43.559761
349,313,43.559761,-79.715411,46,2025/09/01,-79.715411,43.559761
350,313,43.559761,-79.715411,49,2025/09/01,-79.715411,43.559761
351,314,43.555443,-79.587499,14,2025/09/01,-79.587499,43.555443
352,314,43.555443,-79.587499,23,2025/09/01,-79.587499,43.555443
353,320,43.513313,-79.66842,45,2025/09/01,-79.66842,43.513313
354,322,43.610992,-79.648073,7,2025/09/01,-79.648073,43.6109920000001
355,322,43.610992,-79.648073,35,2025/09/01,-79.648073,43.6109920000001
356,323,43.555048,-79.581801,23,2025/09/01,-79.581801,43.555048
357,324,43.55943,-79.587307,2,2025/09/01,-79.587307,43.5594300000001
358,324,43.55943,-79.587307,8,2025/09/01,-79.587307,43.5594300000001
359,325,43.551913,-79.585254,14,2025/09/01,-79.585254,43.5519130000001
360,325,43.551913,-79.585254,23,2025/09/01,-79.585254,43.5519130000001
361,326,43.553361,-79.583661,2,2025/09/01,-79.5836609999999,43.553361
